,identifier,session_identifier,organization_classification,first_action,primary_sponsor_1_clean,primary_sponsor_2_clean,num_sponsors,became_law,referred_to_committee,committee_passages,passed_first_chamber,passed_full_legislature
4433,HB 1397,103rd,lower,2023-01-24,Celina Villanueva,Kelly Cassidy,31,False,True,2,True,False
4434,HB 2145,103rd,lower,2023-02-06,Marcus Evans Jr,Napoleon Harris,4,True,True,0,True,True
4435,SB 852,103rd,upper,2023-02-02,Christopher Belt,,1,False,True,0,False,False
4436,SB 807,103rd,upper,2023-02-02,Cristina Castro,,1,False,True,0,False,False
4437,HB 2249,103rd,lower,2023-02-08,Dagmara Avelar,,1,False,False,0,False,False
4438,HB 2243,103rd,lower,2023-02-08,Kelly Cassidy,,1,False,False,0,False,False
4439,HB 4217,103rd,lower,2023-11-06,Joe Sosnowski,,1,False,False,0,False,False
4440,HB 3672,103rd,lower,2023-02-17,Chris Miller,,2,False,False,0,False,False
4441,HB 3973,103rd,lower,2023-02-17,Lakesia Collins,,2,False,True,0,False,False
4442,HB 3926,103rd,lower,2023-02-17,Janet Rohr,,3,False,True,0,False,False
4443,HB 1199,103rd,lower,2023-01-17,Anthony DeLuca,Don Harmon,19,True,True,0,True,True
4444,SB 44,103rd,upper,2023-01-20,Don Harmon,,6,False,True,0,False,False
4445,SB 217,103rd,upper,2023-01-31,Christopher Belt,,28,False,True,0,False,False
4446,SB 1125,103rd,upper,2023-02-02,Chapin Rose,,1,False,True,0,False,False
4447,SB 1562,103rd,upper,2023-02-08,Mary Allen,,1,False,True,0,False,False
4448,SB 1551,103rd,upper,2023-02-08,Terri Bryant,,1,False,False,0,False,False
4449,SB 1598,103rd,upper,2023-02-08,Jason Plummer,,1,False,False,0,False,False
4450,SB 1575,103rd,upper,2023-02-08,Craig Wilcox,,1,False,False,0,False,False
4451,SB 69,103rd,upper,2023-01-20,Anne Stava,Laura Fine,3,True,True,0,True,True
4452,HB 2227,103rd,lower,2023-02-08,Jehan Booth,,1,False,False,0,False,False
4453,HB 2232,103rd,lower,2023-02-08,Cristina Castro,Robert Rita,4,True,True,1,True,True
4454,HB 2221,103rd,lower,2023-02-08,Mary Flowers,,3,False,True,0,False,False
4455,SB 1600,103rd,upper,2023-02-08,Celina Villanueva,,5,False,True,0,False,False
4456,HB 2222,103rd,lower,2023-02-08,Ann Gillespie,Jennifer Gershowitz,31,True,True,1,True,True
4457,SB 1072,103rd,upper,2023-02-02,Stephanie Kifowit,Sue Rezin,134,True,True,0,True,True
4458,SB 1070,103rd,upper,2023-02-02,Jil Tracy,,1,False,True,0,False,False
4459,SB 1154,103rd,upper,2023-02-02,Sue Rezin,,1,False,True,0,False,False
4460,HB 2218,103rd,lower,2023-02-08,Norine Hammond,,6,False,True,0,False,False
4461,HB 2228,103rd,lower,2023-02-08,Jehan Booth,,1,False,False,0,False,False
4462,SB 1618,103rd,upper,2023-02-08,Lakesia Collins,,1,False,True,0,False,False
4463,SB 1589,103rd,upper,2023-02-08,Terri Bryant,,1,False,False,0,False,False
4464,SB 1676,103rd,upper,2023-02-08,Bill Cunningham,,1,False,False,0,False,False
4465,SB 1734,103rd,upper,2023-02-09,Seth Lewis,,1,False,False,0,False,False
4466,SB 1605,103rd,upper,2023-02-08,Chapin Rose,,1,False,False,0,False,False
4467,SB 1554,103rd,upper,2023-02-08,David Koehler,,1,False,False,0,False,False
4468,SB 1857,103rd,upper,2023-02-09,Christopher Belt,,12,False,True,0,False,False
4469,SB 1294,103rd,upper,2023-02-03,Karina Villa,,15,False,True,0,False,False
4470,SB 1602,103rd,upper,2023-02-08,Chapin Rose,,1,False,False,0,False,False
4471,SB 1664,103rd,upper,2023-02-08,Robert Peters,,1,False,True,0,False,False
4472,SB 2012,103rd,upper,2023-02-09,Doris Turner,,1,False,True,0,False,False
4473,HB 2271,103rd,lower,2023-02-09,Bob Morgan,,1,False,True,0,False,False
4474,HB 2273,103rd,lower,2023-02-09,Travis Weaver,,3,False,True,0,False,False
4475,HB 2268,103rd,lower,2023-02-09,Mike Coffey,,1,False,True,0,False,False
4476,HB 2276,103rd,lower,2023-02-09,Eva Delgado,,1,False,False,0,False,False
4477,SB 1065,103rd,upper,2023-02-02,Adam Niemerg,Chapin Rose,2,False,True,0,True,False
4478,SB 327,103rd,upper,2023-02-02,Bill Cunningham,David Vella,3,False,True,1,True,False
4479,HB 2049,103rd,lower,2023-02-02,Maurice West II,,27,False,True,0,False,False
4480,SB 1569,103rd,upper,2023-02-08,Kimberly Lightford,,1,False,True,0,False,False
4481,HB 2275,103rd,lower,2023-02-09,Mary Flowers,,1,False,True,0,False,False
4482,HB 579,103rd,lower,2022-12-05,Ann Gillespie,Robyn Gabel,40,True,True,2,True,True
4483,HB 780,103rd,lower,2022-12-06,Meg Cappel,Natalie Manley,14,True,True,1,True,True
4484,HB 1017,103rd,lower,2022-12-19,Mary Flowers,,1,False,True,0,False,False
4485,HB 1211,103rd,lower,2023-01-17,Kam Buckner,,2,False,True,0,False,False
4486,HB 1561,103rd,lower,2023-01-30,Adriane Johnson,Camille Lilly,9,True,True,1,True,True
4487,HB 1384,103rd,lower,2023-01-24,Kelly Cassidy,Meg Cappel,27,True,True,0,True,True
4488,HB 4222,103rd,lower,2023-11-07,Robert Rita,,1,False,False,0,False,False
4489,HB 1642,103rd,lower,2023-02-01,Blaine Wilhour,,8,False,True,0,False,False
4490,HB 1482,103rd,lower,2023-01-26,La Ford,,1,False,True,0,False,False
4491,HB 1485,103rd,lower,2023-01-26,La Ford,,1,False,True,0,False,False
4492,HB 4218,103rd,lower,2023-11-06,Janet Rohr,,3,False,True,0,False,False
4493,HB 1599,103rd,lower,2023-01-31,Camille Lilly,,1,False,True,0,False,False
4494,HB 1573,103rd,lower,2023-01-30,Adam Niemerg,,5,False,True,0,False,False
4495,HB 4223,103rd,lower,2023-11-07,Mike Marron,,1,False,False,0,False,False
4496,HB 4221,103rd,lower,2023-11-07,Ann Williams,,1,False,False,0,False,False
4497,HB 2091,103rd,lower,2023-02-02,Jay Hoffman,Ram Villivalam,4,True,True,0,True,True
4498,SB 2307,103rd,upper,2023-02-10,Celina Villanueva,,1,False,True,0,False,False
4499,HB 2076,103rd,lower,2023-02-02,Ann Gillespie,Anna Moeller,4,True,True,1,True,True
4500,HB 2726,103rd,lower,2023-02-15,Camille Lilly,,1,False,True,0,False,False
4501,HB 2239,103rd,lower,2023-02-08,Edgar Gonzalez Jr,,1,False,True,0,False,False
4502,HB 2235,103rd,lower,2023-02-08,Jaime Andrade Jr,Ram Villivalam,2,True,True,0,True,True
4503,SB 689,103rd,upper,2023-02-02,Ann Williams,Don Harmon,34,False,True,1,True,False
4504,HB 2535,103rd,lower,2023-02-15,Camille Lilly,,3,False,True,0,False,False
4505,HB 2558,103rd,lower,2023-02-15,Martin Moylan,,1,False,True,0,False,False
4506,HB 2965,103rd,lower,2023-02-16,Bradley Fritts,,1,False,True,0,False,False
4507,HB 2930,103rd,lower,2023-02-16,Dennis Tipsword Jr,,1,False,True,0,False,False
4508,HB 2352,103rd,lower,2023-02-14,Marcus Evans Jr,Robert Martwick,10,True,True,0,True,True
4509,HB 1549,103rd,lower,2023-01-30,Dan Ugaste,,1,False,True,0,False,False
4510,HB 4007,103rd,lower,2023-03-02,Jehan Booth,,1,False,False,0,False,False
4511,SB 3,103rd,upper,2023-01-20,Don Harmon,,1,False,True,0,False,False
4512,SB 2608,103rd,upper,2023-10-18,Willie Preston,,11,False,True,0,False,False
4513,SB 357,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4514,SB 451,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4515,HB 2831,103rd,lower,2023-02-16,Adriane Johnson,Lindsey LaPointe,32,True,True,1,True,True
4516,HB 2878,103rd,lower,2023-02-16,Cristina Castro,Jay Hoffman,12,True,True,1,True,True
4517,HB 3026,103rd,lower,2023-02-16,Kelly Cassidy,Robert Peters,9,True,True,0,True,True
4518,HB 3038,103rd,lower,2023-02-16,Will Guzzardi,,26,False,False,0,False,False
4519,SB 2638,103rd,upper,2023-11-07,Julie Morrison,,1,False,False,0,False,False
4520,HB 3131,103rd,lower,2023-02-16,Lilian Jimenez,,21,False,True,1,False,False
4521,HB 3224,103rd,lower,2023-02-16,David Koehler,Suzanne Ness,32,True,True,0,True,True
4522,HB 2896,103rd,lower,2023-02-16,Abdelnasser Rashid,,1,False,True,0,False,False
4523,HB 2961,103rd,lower,2023-02-16,Bradley Fritts,,9,False,True,0,False,False
4524,SB 1145,103rd,upper,2023-02-02,Dan McConchie,,1,False,True,0,False,False
4525,HB 5151,103rd,lower,2024-02-08,Anne Stava,Kimberly Lightford,2,False,True,0,True,False
4526,HB 323,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
4527,HB 341,103rd,lower,2022-12-05,Don Harmon,Lance Yednock,2,False,True,3,True,False
4528,HB 247,103rd,lower,2022-12-05,Emanuel Welch,,1,False,True,0,False,False
4529,HB 1005,103rd,lower,2022-12-19,Mary Flowers,,1,False,True,0,False,False
4530,HB 1519,103rd,lower,2023-01-27,Elgie Sims Jr,Maurice West II,7,False,True,2,True,False
4531,HB 1707,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
4532,HB 1677,103rd,lower,2023-02-01,Tony McCombie,,1,False,True,0,False,False
4533,HB 1670,103rd,lower,2023-02-01,Charles Meier,,1,False,True,0,False,False
4534,HB 2308,103rd,lower,2023-02-10,Ann Williams,Laura Ellman,2,True,True,0,True,True
4535,HB 2465,103rd,lower,2023-02-15,Rita Mayfield,,7,False,True,0,False,False
4536,HB 3326,103rd,lower,2023-02-17,Ann Williams,Sara Feigenholtz,30,True,True,1,True,True
4537,HB 2810,103rd,lower,2023-02-16,Harry Benton,,6,False,True,0,False,False
4538,HB 3828,103rd,lower,2023-02-17,Brad Halbrook,,4,False,True,0,False,False
4539,SB 2221,103rd,upper,2023-02-10,Laura Fine,,1,False,True,0,False,False
4540,HB 4659,103rd,lower,2024-01-31,Lawrence Walsh Jr,,1,False,False,0,False,False
4541,HB 4655,103rd,lower,2024-01-31,Martin Moylan,,1,False,True,0,False,False
4542,HB 4705,103rd,lower,2024-02-01,Abdelnasser Rashid,,1,False,True,0,False,False
4543,HB 4646,103rd,lower,2024-01-31,Curtis Tarver II,,1,False,False,0,False,False
4544,HB 4693,103rd,lower,2024-02-01,Tim Ozinga,,1,False,False,0,False,False
4545,HB 4682,103rd,lower,2024-02-01,Cyril Nichols,,1,False,False,0,False,False
4546,HB 4652,103rd,lower,2024-01-31,Barbara Hernandez,David Koehler,32,False,True,1,True,False
4547,HB 4081,103rd,lower,2023-05-10,Brad Stephens,,2,False,False,0,False,False
4548,HB 4084,103rd,lower,2023-05-10,Jennifer Sanalitro,,2,False,False,0,False,False
4549,HB 4071,103rd,lower,2023-05-04,Will Guzzardi,,7,False,False,0,False,False
4550,HB 3716,103rd,lower,2023-02-17,Anna Moeller,,17,False,True,3,False,False
4551,HB 4683,103rd,lower,2024-02-01,Cyril Nichols,,1,False,False,0,False,False
4552,HB 4711,103rd,lower,2024-02-02,Dan Swanson,Michael Halpin,19,True,True,0,True,True
4553,HB 4077,103rd,lower,2023-05-09,Curtis Tarver II,,1,False,False,0,False,False
4554,HB 4078,103rd,lower,2023-05-10,Martin Moylan,,1,False,False,0,False,False
4555,HB 4072,103rd,lower,2023-05-05,Charles Meier,,47,False,False,0,False,False
4556,HB 4083,103rd,lower,2023-05-10,John Egofske,,1,False,False,0,False,False
4557,SB 376,103rd,upper,2023-02-02,Kimberly Lightford,,4,False,True,0,False,False
4558,HB 4688,103rd,lower,2024-02-01,Tim Ozinga,,1,False,True,0,False,False
4559,HB 4700,103rd,lower,2024-02-01,Tim Ozinga,,1,False,True,0,False,False
4560,HB 4728,103rd,lower,2024-02-02,La Ford,,9,False,True,0,False,False
4561,SB 724,103rd,upper,2023-02-02,Lindsey LaPointe,Sara Feigenholtz,27,True,True,2,True,True
4562,HB 475,103rd,lower,2022-12-05,Adriane Johnson,Daniel Didech,8,True,True,1,True,True
4563,HB 1029,103rd,lower,2022-12-19,Mary Flowers,,1,False,True,0,False,False
4564,HB 1041,103rd,lower,2022-12-19,Mary Flowers,,1,False,True,0,False,False
4565,HB 4697,103rd,lower,2024-02-01,Tim Ozinga,,1,False,False,0,False,False
4566,HB 1166,103rd,lower,2023-01-17,Daniel Didech,Karina Villa,13,False,True,0,True,False
4567,HB 2298,103rd,lower,2023-02-10,Anna Moeller,,10,False,True,0,False,False
4568,HB 2929,103rd,lower,2023-02-16,Dennis Tipsword Jr,,1,False,True,0,False,False
4569,HB 3927,103rd,lower,2023-02-17,Jay Hoffman,,2,False,True,0,False,False
4570,HB 3811,103rd,lower,2023-02-17,Bill Cunningham,Kelly Burke,7,False,True,0,True,False
4571,SB 646,103rd,upper,2023-02-02,Don Harmon,Justin Slaughter,12,True,True,1,True,True
4572,SB 800,103rd,upper,2023-02-02,Kam Buckner,Kimberly Lightford,2,True,True,0,True,True
4573,SB 1344,103rd,upper,2023-02-06,Celina Villanueva,Kelly Cassidy,26,True,True,0,True,True
4574,SB 1559,103rd,upper,2023-02-08,Kimberly Lightford,La Ford,40,True,True,3,True,True
4575,SB 2148,103rd,upper,2023-02-10,Terri Bryant,,1,False,True,0,False,False
4576,HB 1238,103rd,lower,2023-01-18,Debbie Martin,,8,False,True,0,False,False
4577,HB 1533,103rd,lower,2023-01-27,Barbara Hernandez,Sara Feigenholtz,13,False,True,0,True,False
4578,HB 2309,103rd,lower,2023-02-10,Lindsey LaPointe,,9,False,True,0,False,False
4579,HB 2213,103rd,lower,2023-02-07,Justin Slaughter,,1,False,True,0,False,False
4580,SB 1701,103rd,upper,2023-02-08,Michael Kelly,Ram Villivalam,21,True,True,1,True,True
4581,HB 3264,103rd,lower,2023-02-17,Jay Hoffman,,2,False,True,0,False,False
4582,SB 1782,103rd,upper,2023-02-09,David Koehler,Sharon Chung,22,True,True,2,True,True
4583,HB 3412,103rd,lower,2023-02-17,La Ford,,11,False,True,0,False,False
4584,SB 1974,103rd,upper,2023-02-09,Terri Bryant,,10,False,True,0,False,False
4585,HB 4009,103rd,lower,2023-03-06,Kam Buckner,,1,False,False,0,False,False
4586,HB 3733,103rd,lower,2023-02-17,Kevin Olickal,Ram Villivalam,15,True,True,0,True,True
4587,HB 3768,103rd,lower,2023-02-17,Abdelnasser Rashid,Ram Villivalam,24,True,True,0,True,True
4588,HB 1254,103rd,lower,2023-01-18,Joe Sosnowski,,7,False,True,0,False,False
4589,HB 1582,103rd,lower,2023-01-30,Ryan Spain,,26,False,False,0,False,False
4590,HB 2592,103rd,lower,2023-02-15,Ryan Spain,,10,False,True,0,False,False
4591,HB 4142,103rd,lower,2023-09-20,Nabeela Syed,,2,False,False,0,False,False
4592,HB 4156,103rd,lower,2023-10-04,Margaret Croke,,2,False,True,0,False,False
4593,HB 3445,103rd,lower,2023-02-17,Lawrence Walsh Jr,Steve Stadelman,9,False,True,0,True,True
4594,HB 4228,103rd,lower,2023-11-08,Dan Swanson,,1,False,False,0,False,False
4595,HB 4225,103rd,lower,2023-11-08,Tom Weber,,1,False,False,0,False,False
4596,HB 4227,103rd,lower,2023-11-08,Amy Grant,,1,False,True,0,False,False
4597,SB 2642,103rd,upper,2023-11-08,Suzanne Hilton,,1,False,False,0,False,False
4598,HB 79,103rd,lower,2022-12-05,Emanuel Welch,,2,False,True,0,False,False
4599,HB 2223,103rd,lower,2023-02-08,Kelly Cassidy,Robert Peters,15,True,True,0,True,True
4600,HB 5920,103rd,lower,2024-12-10,Charles Meier,,1,False,False,0,False,False
4601,SB 2390,103rd,upper,2023-02-10,Don Harmon,Maurice West II,31,True,True,0,True,True
4602,HB 610,103rd,lower,2022-12-05,Martin Moylan,,16,False,True,0,False,False
4603,HB 1117,103rd,lower,2023-01-10,Meg Cappel,Natalie Manley,7,True,True,0,True,True
4604,HB 1067,103rd,lower,2023-01-03,Adriane Johnson,Rita Mayfield,7,True,True,0,True,True
4605,HB 2130,103rd,lower,2023-02-03,Bob Morgan,Napoleon Harris,3,True,True,1,True,True
4606,HB 1613,103rd,lower,2023-02-01,Laura Dias,,2,False,True,0,False,False
4607,HB 1459,103rd,lower,2023-01-26,Tony McCombie,,11,False,True,0,False,False
4608,HB 2572,103rd,lower,2023-02-15,Laura Dias,Mary Allen,44,False,True,1,True,False
4609,HB 1831,103rd,lower,2023-02-01,Amy Grant,Seth Lewis,10,False,True,1,True,False
4610,HB 2224,103rd,lower,2023-02-08,Kelly Burke,Sara Feigenholtz,3,True,True,0,True,True
4611,HB 2238,103rd,lower,2023-02-08,Barbara Hernandez,Laura Ellman,15,True,True,0,True,True
4612,HB 2418,103rd,lower,2023-02-14,Erica Harriss,Jeff Keicher,16,True,True,2,True,True
4613,HB 2519,103rd,lower,2023-02-15,Katie Stuart,Laura Murphy,7,True,True,1,True,True
4614,HB 2607,103rd,lower,2023-02-15,Adam Niemerg,Chapin Rose,36,True,True,0,True,True
4615,HB 3257,103rd,lower,2023-02-17,Linda Holmes,Robert Rita,3,False,True,0,True,False
4616,HB 2931,103rd,lower,2023-02-16,Dennis Tipsword Jr,,1,False,True,0,False,False
4617,HB 3239,103rd,lower,2023-02-16,Maura Hirschauer,,1,False,True,0,False,False
4618,HB 2827,103rd,lower,2023-02-16,Laura Fine,Theresa Mah,2,True,True,1,True,True
4619,HB 2972,103rd,lower,2023-02-16,Christopher Davidsmeyer,Jil Tracy,4,True,True,0,True,True
4620,HB 2879,103rd,lower,2023-02-16,Linda Holmes,Sonya Harper,19,True,True,0,True,True
4621,HB 3172,103rd,lower,2023-02-16,Norine Hammond,Tom Bennett,8,True,True,0,True,True
4622,HB 3206,103rd,lower,2023-02-16,Paul Faraci,Tony McCombie,8,True,True,1,True,True
4623,HB 3277,103rd,lower,2023-02-17,Randy Frese,Tom Bennett,15,True,True,1,True,True
4624,HB 3289,103rd,lower,2023-02-17,Anne Stava,Laura Fine,3,True,True,0,True,True
4625,HB 3337,103rd,lower,2023-02-17,David Koehler,Sharon Chung,5,True,True,1,True,True
4626,HB 3705,103rd,lower,2023-02-17,Mattie Hunter,Norma Hernandez,24,True,True,1,True,True
4627,SB 173,103rd,upper,2023-01-31,Sara Feigenholtz,,1,False,True,0,False,False
4628,HB 3584,103rd,lower,2023-02-17,Donald DeWitte,Tom Weber,6,False,True,1,True,False
4629,HB 3572,103rd,lower,2023-02-17,Anne Stava,,18,False,True,1,False,False
4630,HB 3739,103rd,lower,2023-02-17,Debbie Martin,,1,False,True,0,False,False
4631,HB 3677,103rd,lower,2023-02-17,Harry Benton,Patrick Joyce,47,True,True,1,True,True
4632,HB 3570,103rd,lower,2023-02-17,Laura Dias,Willie Preston,16,True,True,1,True,True
4633,HB 3852,103rd,lower,2023-02-17,Cyril Nichols,,2,False,True,0,False,False
4634,HB 4086,103rd,lower,2023-05-11,Marcus Evans Jr,,1,False,False,0,False,False
4635,SB 46,103rd,upper,2023-01-20,David Koehler,Sharon Chung,10,True,True,0,True,True
4636,HB 2067,103rd,lower,2023-02-02,Maurice West II,Michael Halpin,6,False,True,0,True,False
4637,HB 2622,103rd,lower,2023-02-15,Michelle Mussman,Seth Lewis,3,True,True,0,True,True
4638,HB 3315,103rd,lower,2023-02-17,Will Guzzardi,,1,False,True,0,False,False
4639,SB 1474,103rd,upper,2023-02-07,Jay Hoffman,Rachel Ventura,9,True,True,0,True,True
4640,HB 4230,103rd,lower,2023-11-09,Jennifer Sanalitro,,1,False,False,0,False,False
4641,SB 1735,103rd,upper,2023-02-09,Mattie Hunter,,1,False,True,0,False,False
4642,SB 1446,103rd,upper,2023-02-07,Maurice West II,Suzanne Hilton,25,True,True,0,True,True
4643,SB 2100,103rd,upper,2023-02-09,Daniel Didech,Robert Martwick,4,True,True,0,True,True
4644,SB 2323,103rd,upper,2023-02-10,David Koehler,Sharon Chung,4,True,True,0,True,True
4645,SB 2421,103rd,upper,2023-02-10,Laura Fine,,10,False,True,0,False,False
4646,SB 2581,103rd,upper,2023-05-11,David Koehler,,10,False,False,0,False,False
4647,SB 2580,103rd,upper,2023-05-11,Javier Cervantes,,1,False,False,0,False,False
4648,HB 4028,103rd,lower,2023-03-29,Bill Hauter,,1,False,False,0,False,False
4649,HB 4027,103rd,lower,2023-03-27,Martin Moylan,,2,False,False,0,False,False
4650,SB 163,103rd,upper,2023-01-31,Donald DeWitte,,7,False,True,0,False,False
4651,HB 4721,103rd,lower,2024-02-02,Curtis Tarver II,,1,False,False,0,False,False
4652,HB 4699,103rd,lower,2024-02-01,Tim Ozinga,,1,False,True,0,False,False
4653,HB 4707,103rd,lower,2024-02-02,Hoan Huynh,,1,False,True,0,False,False
4654,HB 4720,103rd,lower,2024-02-02,Karina Villa,Maura Hirschauer,6,True,True,0,True,True
4655,HB 4780,103rd,lower,2024-02-05,Jennifer Gershowitz,,1,False,True,0,False,False
4656,HB 4725,103rd,lower,2024-02-02,Edgar Gonzalez Jr,,1,False,False,0,False,False
4657,HB 4785,103rd,lower,2024-02-05,Maurice West II,,17,False,True,0,False,False
4658,HB 3603,103rd,lower,2023-02-17,Ann Williams,,28,False,True,0,False,False
4659,HB 4763,103rd,lower,2024-02-05,Jennifer Gershowitz,,1,False,True,0,False,False
4660,HB 4722,103rd,lower,2024-02-02,Curtis Tarver II,Willie Preston,3,False,True,1,True,False
4661,HB 4696,103rd,lower,2024-02-01,Tim Ozinga,,1,False,True,0,False,False
4662,HB 4698,103rd,lower,2024-02-01,Tim Ozinga,,1,False,False,0,False,False
4663,SB 1128,103rd,upper,2023-02-02,Sally Turner,,3,False,True,0,False,False
4664,SB 2434,103rd,upper,2023-02-10,Robert Martwick,,1,False,True,0,False,False
4665,SB 1968,103rd,upper,2023-02-09,Steve McClure,,10,False,False,0,False,False
4666,SB 2064,103rd,upper,2023-02-09,Chapin Rose,,7,False,False,0,False,False
4667,SB 1286,103rd,upper,2023-02-03,Jil Tracy,,2,False,False,0,False,False
4668,HB 4701,103rd,lower,2024-02-01,Daniel Didech,,1,False,True,0,False,False
4669,SB 381,103rd,upper,2023-02-02,Lawrence Walsh Jr,Rachel Ventura,12,True,True,0,True,True
4670,HB 1256,103rd,lower,2023-01-18,Joe Sosnowski,,1,False,True,0,False,False
4671,HB 1245,103rd,lower,2023-01-18,Justin Slaughter,,23,False,True,0,False,False
4672,HB 1400,103rd,lower,2023-01-25,Daniel Didech,,4,False,True,0,False,False
4673,HB 1444,103rd,lower,2023-01-25,Anna Moeller,,2,False,True,0,False,False
4674,HB 2288,103rd,lower,2023-02-10,Mike Porfirio,Wayne Rosenthal,6,False,True,0,True,False
4675,HB 1553,103rd,lower,2023-01-30,Rita Mayfield,,1,False,True,0,False,False
4676,HB 2385,103rd,lower,2023-02-14,Cyril Nichols,Willie Preston,42,True,True,1,True,True
4677,HB 1486,103rd,lower,2023-01-26,La Ford,,1,False,True,0,False,False
4678,HB 1527,103rd,lower,2023-01-27,Theresa Mah,,37,False,True,2,False,False
4679,HB 1555,103rd,lower,2023-01-30,Michael Halpin,Terra Howard,4,True,True,1,True,True
4680,HB 1803,103rd,lower,2023-02-01,Norine Hammond,,1,False,True,0,False,False
4681,HB 2202,103rd,lower,2023-02-07,Jay Hoffman,,3,False,True,0,False,False
4682,SB 1716,103rd,upper,2023-02-09,Bob Morgan,Suzanne Hilton,3,True,True,0,True,True
4683,SB 1085,103rd,upper,2023-02-02,Dale Fowler,,1,False,True,0,False,False
4684,SB 1392,103rd,upper,2023-02-06,Mary Allen,,30,False,True,0,False,False
4685,SB 1403,103rd,upper,2023-02-06,Laura Fine,,6,False,True,0,False,False
4686,SB 1628,103rd,upper,2023-02-08,Robert Martwick,,1,False,True,0,False,False
4687,SB 1629,103rd,upper,2023-02-08,Robert Martwick,Stephanie Kifowit,7,True,True,1,True,True
4688,SB 1940,103rd,upper,2023-02-09,David Koehler,,1,False,True,0,False,False
4689,SB 2048,103rd,upper,2023-02-09,Terri Bryant,,1,False,True,0,False,False
4690,SB 2195,103rd,upper,2023-02-10,Ann Gillespie,Will Guzzardi,26,True,True,0,True,True
4691,SB 2341,103rd,upper,2023-02-10,Dale Fowler,,2,False,True,0,False,False
4692,SB 1966,103rd,upper,2023-02-09,Don Harmon,,5,False,True,0,False,False
4693,SB 1992,103rd,upper,2023-02-09,Meg Cappel,,1,False,True,0,False,False
4694,SB 2650,103rd,upper,2024-01-10,Linda Holmes,,1,False,True,0,False,False
4695,SB 2799,103rd,upper,2024-01-17,Laura Fine,Michelle Mussman,4,True,True,0,True,True
4696,SB 2933,103rd,upper,2024-01-31,Maurice West II,Steve Stadelman,30,True,True,0,True,True
4697,HB 4014,103rd,lower,2023-03-10,Lamont Robinson,,1,False,False,0,False,False
4698,SB 269,103rd,upper,2023-01-31,Don Harmon,,1,False,True,0,False,False
4699,SB 1641,103rd,upper,2023-02-08,Cristina Castro,Natalie Manley,2,True,True,0,True,True
4700,HB 23,103rd,lower,2022-12-05,La Ford,,1,False,True,0,False,False
4701,SB 2050,103rd,upper,2023-02-09,Ram Villivalam,,5,False,False,0,False,False
4702,HB 3639,103rd,lower,2023-02-17,Joyce Mason,Michael Halpin,51,True,True,1,True,True
4703,SB 682,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4704,SB 672,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4705,SB 679,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4706,SB 680,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4707,SB 763,103rd,upper,2023-02-02,Doris Turner,,1,False,True,0,False,False
4708,SB 780,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4709,SB 750,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4710,SB 748,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4711,SB 783,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4712,SB 835,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4713,SB 927,103rd,upper,2023-02-02,John Curran,,1,False,True,0,False,False
4714,SB 919,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4715,HB 1133,103rd,lower,2023-01-12,Christopher Belt,Jay Hoffman,2,True,True,1,True,True
4716,HB 1186,103rd,lower,2023-01-17,Laura Fine,Margaret Croke,5,True,True,1,True,True
4717,HB 1021,103rd,lower,2022-12-19,Mary Flowers,,1,False,True,0,False,False
4718,SB 2023,103rd,upper,2023-02-09,Ram Villivalam,,1,False,True,0,False,False
4719,SB 1270,103rd,upper,2023-02-03,Sally Turner,,1,False,True,0,False,False
4720,SB 935,103rd,upper,2023-02-02,Jason Plummer,,1,False,True,0,False,False
4721,SB 938,103rd,upper,2023-02-02,John Curran,,1,False,True,0,False,False
4722,SB 909,103rd,upper,2023-02-02,Don Harmon,,1,False,True,0,False,False
4723,HB 1837,103rd,lower,2023-02-01,Neil Anderson,Norine Hammond,7,True,True,2,True,True
4724,SB 1018,103rd,upper,2023-02-02,John Curran,,1,False,True,0,False,False
4725,SB 1022,103rd,upper,2023-02-02,John Curran,,1,False,True,0,False,False
4726,HB 3275,103rd,lower,2023-02-17,Paul Jacobs,,1,False,True,0,False,False
4727,HB 4913,103rd,lower,2024-02-06,Barbara Hernandez,,1,False,False,0,False,False
4728,HB 1091,103rd,lower,2023-01-04,Mary Flowers,,1,False,True,0,False,False
4729,HB 1101,103rd,lower,2023-01-04,Mary Flowers,,2,False,True,0,False,False
4730,HB 2266,103rd,lower,2023-02-09,Mark Walker,Patrick Joyce,2,True,True,0,True,True
4731,HB 2511,103rd,lower,2023-02-15,Jenn Douglass,,1,False,True,0,False,False
